,oc,count,rate
0,歌手,1603,0.48976474182706997
1,演员,795,0.24289642529789185
2,主持人,147,0.044912923923006415
3,音乐制作人,103,0.03146959975557592
4,音乐人,100,0.030553009471432937
5,导演,63,0.01924839596700275
6,制作人,46,0.014054384356859151
7,模特,41,0.012526733883287504
8,作曲家,39,0.011915673693858845
9,作家,38,0.011610143599144515
10,歌唱家,34,0.010388023220287198
11,学生,25,0.007638252367858234
12,词曲创作人,24,0.007332722273143905
13,艺人,23,0.007027192178429576
14,编剧,20,0.006110601894286587
15,制片人,18,0.005499541704857928
16,教师,17,0.005194011610143599
17,乐队,16,0.00488848151542927
18,唱作人,13,0.003971891231286282
19,影视演员,13,0.003971891231286282
20,演艺,12,0.0036663611365719525
21,作曲人,11,0.003360831041857623
22,音乐创作人,11,0.003360831041857623
23,演奏家,11,0.003360831041857623
24,词曲作者,10,0.0030553009471432934
25,监制,10,0.0030553009471432934
26,主持,10,0.0030553009471432934
27,作词人,10,0.0030553009471432934
28,乐团,10,0.0030553009471432934
